Date,Province_State,Latitude,Longitude,Confirmed_Cumulative,Daily_Cases,Cases_7Day_Avg,Daily_Deaths,Mortality_Rate_Proxy
2020-06-10,Andaman and Nicobar Islands,11.225999,92.968178,33.0,0.0,0.0,0.0,0.0
2020-06-11,Andaman and Nicobar Islands,11.225999,92.968178,38.0,5.0,2.5,0.0,0.0
2020-06-12,Andaman and Nicobar Islands,11.225999,92.968178,38.0,0.0,1.6666666666666667,0.0,0.0
2020-06-13,Andaman and Nicobar Islands,11.225999,92.968178,38.0,0.0,1.25,0.0,0.0
2020-06-14,Andaman and Nicobar Islands,11.225999,92.968178,38.0,0.0,1.0,0.0,0.0
2020-06-15,Andaman and Nicobar Islands,11.225999,92.968178,41.0,3.0,1.3333333333333333,0.0,0.0
2020-06-16,Andaman and Nicobar Islands,11.225999,92.968178,44.0,3.0,1.5714285714285714,0.0,0.0
2020-06-17,Andaman and Nicobar Islands,11.225999,92.968178,44.0,0.0,1.5714285714285714,0.0,0.0
2020-06-18,Andaman and Nicobar Islands,11.225999,92.968178,44.0,0.0,0.8571428571428571,0.0,0.0
2020-06-19,Andaman and Nicobar Islands,11.225999,92.968178,45.0,1.0,1.0,0.0,0.0
2020-06-20,Andaman and Nicobar Islands,11.225999,92.968178,47.0,2.0,1.2857142857142858,0.0,0.0
2020-06-21,Andaman and Nicobar Islands,11.225999,92.968178,48.0,1.0,1.4285714285714286,0.0,0.0
2020-06-22,Andaman and Nicobar Islands,11.225999,92.968178,48.0,0.0,1.0,0.0,0.0
2020-06-23,Andaman and Nicobar Islands,11.225999,92.968178,50.0,2.0,0.8571428571428571,0.0,0.0
2020-06-24,Andaman and Nicobar Islands,11.225999,92.968178,56.0,6.0,1.7142857142857142,0.0,0.0
2020-06-25,Andaman and Nicobar Islands,11.225999,92.968178,59.0,3.0,2.142857142857143,0.0,0.0
2020-06-26,Andaman and Nicobar Islands,11.225999,92.968178,72.0,13.0,3.857142857142857,0.0,0.0
2020-06-27,Andaman and Nicobar Islands,11.225999,92.968178,72.0,0.0,3.5714285714285716,0.0,0.0
2020-06-28,Andaman and Nicobar Islands,11.225999,92.968178,76.0,4.0,4.0,0.0,0.0
2020-06-29,Andaman and Nicobar Islands,11.225999,92.968178,90.0,14.0,6.0,0.0,0.0
2020-06-30,Andaman and Nicobar Islands,11.225999,92.968178,97.0,7.0,6.714285714285714,0.0,0.0
2020-07-01,Andaman and Nicobar Islands,11.225999,92.968178,100.0,3.0,6.285714285714286,0.0,0.0
2020-07-02,Andaman and Nicobar Islands,11.225999,92.968178,109.0,9.0,7.142857142857143,0.0,0.0
2020-07-03,Andaman and Nicobar Islands,11.225999,92.968178,116.0,7.0,6.285714285714286,0.0,0.0
2020-07-04,Andaman and Nicobar Islands,11.225999,92.968178,119.0,3.0,6.714285714285714,0.0,0.0
