Date,Province_State,mobility_retail,mobility_grocery,mobility_parks,mobility_transit,mobility_work,mobility_residential
2020-02-15,Andaman and Nicobar Islands,1.0,-9.0,5.0,-2.0,6.0,2.0
2020-02-16,Andaman and Nicobar Islands,0.0,-6.0,1.0,2.0,4.0,1.5
2020-02-17,Andaman and Nicobar Islands,-1.0,2.0,5.0,1.0,6.0,1.0
2020-02-18,Andaman and Nicobar Islands,-2.0,12.0,-4.0,-1.0,4.0,3.0
2020-02-19,Andaman and Nicobar Islands,-5.0,9.0,-6.0,2.0,4.0,1.0
2020-02-20,Andaman and Nicobar Islands,-2.0,-4.0,3.0,-1.0,1.0,1.0
2020-02-21,Andaman and Nicobar Islands,-1.0,-9.0,1.0,1.0,-9.0,4.0
2020-02-22,Andaman and Nicobar Islands,-4.0,-16.0,2.0,-3.0,0.0,1.0
2020-02-23,Andaman and Nicobar Islands,-6.0,-6.0,-6.0,1.0,3.0,0.5
2020-02-24,Andaman and Nicobar Islands,-3.0,-19.0,-2.0,8.0,4.0,0.0
2020-02-25,Andaman and Nicobar Islands,-2.0,-2.0,-5.0,3.0,3.0,2.0
2020-02-26,Andaman and Nicobar Islands,-6.0,-14.0,-5.0,1.0,3.0,0.0
2020-02-27,Andaman and Nicobar Islands,-4.0,-14.0,-7.0,0.0,1.0,1.0
2020-02-28,Andaman and Nicobar Islands,-2.0,-21.0,-13.0,0.0,5.0,1.0
2020-02-29,Andaman and Nicobar Islands,-1.0,-19.0,-5.0,-5.0,5.0,1.0
2020-03-01,Andaman and Nicobar Islands,-8.0,-15.0,-14.0,-9.0,-3.0,0.5
2020-03-02,Andaman and Nicobar Islands,-2.0,-17.0,-2.0,-3.0,6.0,0.0
2020-03-03,Andaman and Nicobar Islands,-12.0,-18.0,-6.0,-6.0,4.0,2.0
2020-03-04,Andaman and Nicobar Islands,-7.0,-14.0,-2.0,-1.0,4.0,2.0
2020-03-05,Andaman and Nicobar Islands,-6.0,-20.0,0.0,0.0,3.0,1.0
2020-03-06,Andaman and Nicobar Islands,-7.0,-25.0,-4.0,0.0,3.0,2.0
2020-03-07,Andaman and Nicobar Islands,-13.0,-26.0,-3.0,-6.0,6.0,1.0
2020-03-08,Andaman and Nicobar Islands,-17.0,-15.0,-8.0,-9.0,-4.0,1.5
2020-03-09,Andaman and Nicobar Islands,-8.0,-17.0,0.0,-3.0,-6.0,2.0
2020-03-10,Andaman and Nicobar Islands,-36.0,-38.0,-12.0,-19.0,-56.0,13.0
2020-03-11,Andaman and Nicobar Islands,-14.0,-16.0,-8.0,-1.0,0.0,0.0
2020-03-12,Andaman and Nicobar Islands,-9.0,-12.0,-7.0,-2.0,1.0,2.0
2020-03-13,Andaman and Nicobar Islands,-10.0,-19.0,-10.0,-3.0,4.0,2.0
2020-03-14,Andaman and Nicobar Islands,-16.0,-19.0,-4.0,-7.0,-7.0,6.0
2020-03-15,Andaman and Nicobar Islands,-27.0,-32.0,-15.0,-9.0,-3.0,4.0
2020-03-16,Andaman and Nicobar Islands,-18.0,-11.0,-10.0,-7.0,-1.0,2.0
2020-03-17,Andaman and Nicobar Islands,-24.0,-20.0,-25.0,-13.0,-4.0,4.0
2020-03-18,Andaman and Nicobar Islands,-21.0,-20.0,-31.0,-14.0,-9.0,1.0
2020-03-19,Andaman and Nicobar Islands,-16.0,-4.0,-21.0,-14.0,-7.0,1.0
2020-03-20,Andaman and Nicobar Islands,-50.0,-43.0,-50.0,-31.0,-29.0,12.0
2020-03-21,Andaman and Nicobar Islands,-57.0,-45.0,-49.0,-40.0,-34.0,16.0
2020-03-22,Andaman and Nicobar Islands,-80.0,-85.0,-68.0,-61.0,-41.0,18.5
2020-03-23,Andaman and Nicobar Islands,-61.0,-43.0,-60.0,-45.0,-44.0,21.0
2020-03-24,Andaman and Nicobar Islands,-67.0,-48.0,-62.0,-46.0,-52.0,23.0
2020-03-25,Andaman and Nicobar Islands,-80.0,-76.0,-68.0,-64.0,-63.0,24.0
2020-03-26,Andaman and Nicobar Islands,-80.0,-80.0,-65.0,-63.0,-66.0,25.0
2020-03-27,Andaman and Nicobar Islands,-78.0,-79.0,-70.0,-66.0,-63.0,26.0
2020-03-28,Andaman and Nicobar Islands,-75.0,-74.0,-67.0,-66.0,-57.0,27.0
2020-03-29,Andaman and Nicobar Islands,-68.0,-63.0,-57.0,-59.0,-28.0,28.0
2020-03-30,Andaman and Nicobar Islands,-69.0,-60.0,-62.0,-61.0,-56.0,29.0
2020-03-31,Andaman and Nicobar Islands,-72.0,-64.0,-64.0,-60.0,-56.0,29.0
2020-04-01,Andaman and Nicobar Islands,-75.0,-65.0,-67.0,-63.0,-58.0,29.333333333333332
2020-04-02,Andaman and Nicobar Islands,-74.0,-67.0,-67.0,-64.0,-57.0,29.666666666666668
2020-04-03,Andaman and Nicobar Islands,-76.0,-70.0,-65.0,-64.0,-57.0,30.0
2020-04-04,Andaman and Nicobar Islands,-76.0,-72.0,-67.0,-65.0,-49.0,30.333333333333332
2020-04-05,Andaman and Nicobar Islands,-76.0,-79.0,-65.0,-64.0,-24.0,30.666666666666668
2020-04-06,Andaman and Nicobar Islands,-75.0,-79.0,-67.0,-67.0,-56.0,31.0
2020-04-07,Andaman and Nicobar Islands,-81.0,-79.0,-71.0,-77.0,-56.0,31.0
